City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
362,miranda,34,BR,1568783206,51,-20.24,-56.38,71.87,1.52
363,northam,75,AU,1568783310,63,-31.65,116.67,66.2,20.8
364,husavik,100,CA,1568783310,90,50.56,-96.99,71.01,5.01
365,puerto carreno,74,CO,1568783310,90,6.19,-67.49,74.03,3.44
366,candelaria,100,PH,1568783311,79,13.93,121.42,82.99,3.0
367,laguna,75,BZ,1568783311,94,16.17,-88.94,78.8,1.45
368,champerico,90,MX,1568783311,88,16.38,-93.6,73.4,5.82
369,seminole,1,US,1568783311,50,32.72,-102.64,78.01,4.7
370,tucumcari,1,US,1568783311,47,35.17,-103.73,75.2,10.29
371,tiruvallur,75,IN,1568783311,79,13.15,79.92,84.2,8.05
372,lavrentiya,92,RU,1568783311,91,65.58,-170.99,35.33,7.4
373,saldanha,97,PT,1568783311,66,41.42,-6.55,63.41,2.26
374,ancud,75,CL,1568783312,87,-41.87,-73.83,42.8,4.7
375,aranos,0,NA,1568783312,19,-24.14,19.11,68.27,4.03
376,dabat,100,ET,1568783312,91,12.98,37.77,68.63,2.01
377,lakes entrance,0,AU,1568783312,61,-37.88,147.99,64.99,5.99
378,soyo,63,AO,1568783048,89,-6.13,12.37,73.67,10.29
379,atar,0,MR,1568783313,22,20.52,-13.05,90.77,4.27
380,karratha,65,AU,1568783313,9,-20.74,116.85,98.15,15.32
381,lucapa,47,AO,1568783313,58,-8.42,20.74,74.57,3.47
382,banda aceh,100,ID,1568783260,80,5.56,95.32,82.85,18.16
383,port lincoln,18,AU,1568783313,60,-34.72,135.86,63.95,7.27
384,fayaoue,31,NC,1568783313,69,-20.65,166.53,72.77,9.71
385,dawlatabad,0,AF,1568783313,12,36.41,64.91,83.39,5.48
386,aromashevo,77,RU,1568783314,66,56.86,68.64,60.17,16.11
387,turan,66,RU,1568783314,45,52.15,93.92,60.35,4.45
388,berdigestyakh,100,RU,1568783314,85,62.1,126.7,37.31,7.29
389,canutama,30,BR,1568783314,81,-6.53,-64.38,76.19,2.37
390,mbandaka,100,CD,1568783314,83,0.05,18.26,75.47,1.63
391,eyl,18,SO,1568783314,39,7.98,49.82,86.63,22.48
392,suoyarvi,93,RU,1568783314,86,62.08,32.35,38.03,8.48
393,blagoveshchensk,40,RU,1568783315,34,50.29,127.53,48.2,24.61
394,ayan,0,IR,1568783315,43,38.23,44.7,56.39,1.99
395,cotonou,40,BJ,1568783315,94,6.37,2.43,75.2,3.36
396,mogadishu,75,SO,1568783235,74,2.04,45.34,78.8,10.29
397,angoche,47,MZ,1568783315,58,-16.23,39.91,77.63,7.63
398,ambad,75,IN,1568783315,88,19.61,75.79,77.0,3.36
399,beyneu,54,KZ,1568783315,21,45.32,55.19,79.97,18.48
400,pacific grove,1,US,1568783316,55,36.62,-121.92,64.4,6.93
401,anadyr,75,RU,1568783316,63,64.73,177.51,42.8,6.71
402,aklavik,90,CA,1568783316,81,68.22,-135.01,46.4,4.7
403,cordoba,0,AR,1568783316,62,-27.78,-67.24,44.87,1.36
404,sola,91,TZ,1568783316,38,-3.17,33.8,75.83,11.25
405,makow mazowiecki,75,PL,1568783316,87,52.86,21.1,48.0,21.92
406,marawi,64,PH,1568783316,67,8.0,124.29,87.01,5.99
407,chara,0,GR,1568783317,63,39.42,22.43,62.6,1.66
408,yulara,0,AU,1568783317,6,-25.24,130.99,93.2,13.87
409,las lomas,2,PE,1568783317,83,-4.66,-80.24,61.43,3.29
410,taksimo,95,RU,1568783317,75,56.36,114.84,40.01,4.83
411,aykhal,90,RU,1568783317,74,65.95,111.51,30.2,2.24
412,van wert,1,US,1568783317,93,40.86,-84.58,63.0,4.7
413,mersing,99,MY,1568783317,61,2.43,103.84,88.43,8.57
414,coquimbo,0,CL,1568783318,75,-29.95,-71.34,46.4,8.05
415,voh,0,NC,1568783318,68,-20.95,164.69,72.41,17.4
416,storforshei,75,NO,1568783318,93,66.4,14.52,43.0,1.12
417,panama city,1,US,1568783300,74,30.16,-85.65,84.2,10.29
418,boralday,0,KZ,1568783318,39,43.36,76.86,66.2,2.24
419,kurchum,18,KZ,1568783318,47,48.57,83.65,65.57,7.76
420,monrovia,100,LR,1568783318,91,6.33,-10.8,76.01,9.64
421,makubetsu,75,JP,1568783322,82,42.84,143.34,59.0,6.93
422,sharkan,16,RU,1568783322,88,57.3,53.87,48.0,3.0
423,mayor pablo lagerenza,92,PY,1568783322,48,-19.93,-60.77,66.65,3.11
424,port augusta,10,AU,1568783186,12,-32.49,137.76,75.0,12.75
425,alihe,0,CN,1568783322,30,50.57,123.73,48.83,17.22
426,namtsy,90,RU,1568783322,86,62.72,129.66,37.4,4.47
427,talca,16,CL,1568783322,93,-35.43,-71.66,46.4,3.22
428,oktyabrskoye,0,RU,1568783323,76,56.73,85.44,57.99,11.18
429,port blair,100,IN,1568783323,82,11.67,92.75,81.23,14.0
430,uddevalla,0,SE,1568783323,80,58.35,11.94,48.0,10.29
431,bingol,0,TR,1568783323,35,38.88,40.49,67.37,1.25
432,mwense,61,ZM,1568783323,38,-10.39,28.7,75.83,6.02
433,teya,75,MX,1568783324,88,21.05,-89.07,81.0,8.05
434,inverell,49,AU,1568783175,30,-29.78,151.11,73.99,7.0
435,ambilobe,0,MG,1568783324,41,-13.19,49.05,82.67,6.06
436,feicheng,0,CN,1568783324,32,36.18,116.77,78.89,13.82
437,kokoda,100,PG,1568783324,96,-8.88,147.74,61.61,1.41
438,san felipe,0,CL,1568783324,99,-32.75,-70.73,46.0,3.18
439,washougal,90,US,1568783324,93,45.58,-122.35,59.0,4.7
440,luderitz,77,NA,1568783328,93,-26.65,15.16,53.6,5.82
441,kastamonu,0,TR,1568783234,34,41.38,33.78,65.03,2.53
442,xam nua,65,LA,1568783328,62,20.42,104.04,80.69,5.61
443,muroto,75,JP,1568783328,69,33.37,134.14,82.4,11.41
444,coos bay,90,US,1568783328,87,43.37,-124.22,60.8,13.87
445,halifax,90,CA,1568783149,93,44.65,-63.58,48.99,5.82
446,saint-augustin,20,CA,1568783328,100,45.63,-73.98,54.0,2.24
447,ibra,87,OM,1568783328,15,22.69,58.55,94.01,2.86
448,henties bay,5,NA,1568783329,97,-22.12,14.28,57.99,4.0
449,salinopolis,0,BR,1568783329,80,-0.61,-47.36,80.69,17.16
450,mandal,96,MN,1568783329,43,48.82,106.5,63.05,10.16
451,grand-santi,13,GF,1568783329,98,4.27,-54.38,71.87,2.06
452,imola,40,IT,1568783329,82,44.35,11.71,70.0,3.36
453,tongliao,0,CN,1568783262,18,43.61,122.27,67.37,13.24
454,hualmay,95,PE,1568783330,88,-11.1,-77.61,60.35,16.84
455,bystryy istok,100,RU,1568783330,65,52.37,84.39,64.85,3.49
456,noumea,75,NC,1568783330,47,-22.28,166.46,78.8,5.82
457,llandrindod wells,0,GB,1568783330,91,52.24,-3.38,46.0,0.38
458,leeuwarden,90,NL,1568783330,87,53.2,5.79,54.0,5.82
459,svetlaya,100,RU,1568783330,88,46.54,138.33,43.97,10.78
460,quatre cocos,40,MU,1568783290,83,-20.21,57.76,75.99,7.99
461,salisbury,0,GB,1568783331,81,51.07,-1.8,48.99,5.82
462,gediz,0,TR,1568783331,86,38.99,29.39,41.0,2.73
463,avera,90,US,1568783331,57,33.19,-82.53,84.2,6.93
464,west bay,90,CA,1568783331,87,49.34,-123.21,57.2,9.17
465,bodden town,90,KY,1568783331,83,19.28,-81.25,84.0,3.0
466,nova russas,5,BR,1568783331,83,-4.71,-40.57,67.91,10.6
467,goderich,0,CA,1568783332,95,43.74,-81.71,57.0,11.21
468,kita,75,JP,1568783332,88,35.76,139.74,73.0,10.29
469,okha,43,RU,1568783332,68,53.59,142.95,54.23,17.47
470,meulaboh,95,ID,1568783332,73,4.14,96.13,83.39,8.32
471,kodiak,1,US,1568783332,78,39.95,-94.76,77.0,6.93
472,sunndalsora,75,NO,1568783332,76,62.68,8.55,48.2,31.09
473,filingue,93,NE,1568783332,50,14.35,3.32,84.29,10.58
474,ibipeba,50,BR,1568783336,88,-11.64,-42.01,58.19,5.68
475,honiara,75,SB,1568783336,66,-9.43,159.96,89.6,11.41
476,brownsville,1,US,1568783336,83,25.91,-97.49,82.99,9.17
477,mutis,74,CO,1568783336,83,6.23,-77.4,78.89,8.59
478,cascais,0,PT,1568783336,77,38.7,-9.42,64.4,5.82
479,jieshi,9,CN,1568783336,60,22.82,115.83,91.0,1.01
480,deniliquin,0,AU,1568783336,33,-35.53,144.96,68.0,1.99
481,rotenburg,75,DE,1568783337,81,53.12,9.4,51.8,5.82
482,kampene,71,CD,1568783337,78,-3.59,26.67,74.57,2.71
